"new.ID","treat1","cum.emis.mn","e.rel.150.n"
"13","Un30","0.251  ±  0.0266",3
"13","UN25","0.258  ±  0.00155",3
"13","Sep25","0.049  ±  0.0413",3
"13","Sep30","-0.0486  ±  0.074",3
"13","Un12","0.205  ±  0.0207",3
"9","TH","0.245  ±  0.0463",4
"9","TS1","0.111  ±  0.0408",4
"9","TS1-4","0.1  ±  0.0291",4
"9","TH-4","0.26  ±  0.0275",4
"10","TS1-4","0.141  ±  0.0212",4
"10","TH-4","0.242  ±  0.0857",4
"10","TH","0.284  ±  0.0991",4
"10","TS1","0.212  ±  0.0536",4
"14","Un12","0.338  ±  0.0478",3
"14","UN25","0.451  ±  0.0263",3
"14","Sep30","0.0762  ±  0.0374",3
"14","Sep25","0.08  ±  0.00672",3
"14","Un30","0.347  ±  0.0845",3
"15","2-Pos","0.324  ±  0.0348",5
"15","No","0.309  ±  0.046",5
"15","7-Pos","0.385  ±  0.0343",5
