"new.ID","dig","straw","treat","TS","VS","NH4","totN","pH.lab","pH.field","amount.mn","app.rate.mn"
"1","A","+","","5.561  ±  0.008408","76.62  ±  0.1407","1.558  ±  0.007071","2.684  ±  0.2572","7.865  ±  0.02121","8.285  ±  0.007071",35,54.53
"1","A","+","Sep-D","3.193  ±  0.001226","66.59  ±  0.07828","1.494  ±  0.123","2.888  ±  0.6966","7.795  ±  0.007071","7.92  ±  NA",35,52.29
"1","A","+","Sep-D + acid","3.295  ±  0.0006547","64.93  ±  0.004499","1.534  ±  0.007778","2.594  ±  0.1492","7.825  ±  0.2051","6.535  ±  0.1202",35,53.67
"1","A","+","Dis","5.327  ±  0.002049","77.51  ±  0.1358","1.454  ±  0.006364","3.144  ±  0.04278","7.775  ±  0.0495","8.075  ±  0.1061",35,50.91
"1","A","+","Dis + acid","5.46  ±  0.009207","76.73  ±  0.05897","1.612  ±  0.03041","2.797  ±  0.7355","7.375  ±  0.007071","6.47  ±  0.02828",35,56.44
"10","A","+","","3.74  ±  0.0007462","75.23  ±  0.3354","1.414  ±  0.02899","1.9  ±  0.04056","7.86  ±  0.02828","8.14  ±  0",32,45.23
"11","H","no","","6.724  ±  0.1077","68.33  ±  0.2054","3.08  ±  0","4.707  ±  0.5784","4.125  ±  4.943","7.285  ±  0.02121",20,61.6
"12","H","no","","6.657  ±  0.05472","65.59  ±  0.5726","2.955  ±  0.03536","4.796  ±  0.04313","7.56  ±  0.02828","7.67  ±  0.05657",20,59.1
"2","A","+","","5.439  ±  0.05047","76.14  ±  0.03682","1.476  ±  0.263","3.011  ±  0.3846","8.05  ±  0.01414","8.405  ±  0.007071",32,47.23
"2","A","+","Acid","5.595  ±  0.05605","75.3  ±  0.1252","1.766  ±  0.3189","3.728  ±  0.2438","7.59  ±  0.07071","7.315  ±  0.03536",32,56.53
"2","B","++","","9.18  ±  0.04105","74.48  ±  0.05969","2.511  ±  0.08768","4.902  ±  0.2549","7.755  ±  0.02121","8.14  ±  0",23,57.75
"2","B","++","Acid","9.299  ±  0.06962","74.33  ±  0.1924","2.32  ±  0.1252","5.553  ±  0.1825","7.505  ±  0.007071","7.67  ±  0.01414",23,53.37
"2","B","++","Sep-S + acid","7.334  ±  0.001646","68.91  ±  0.09427","2.572  ±  0.05162","5.219  ±  0.03112","7.675  ±  0.02121","7.535  ±  0.007071",20,51.43
"3","A","+","","5.527  ±  0.008313","75.73  ±  0.05791","1.172  ±  0.2857","3.398  ±  0.1728","8  ±  0.4243","7.92  ±  0.01414",38,44.54
"3","B","++","","9.236  ±  0.01899","74.23  ±  0.02112","2.098  ±  0.2934","4.388  ±  0.07877","7.77  ±  0.02828","8.105  ±  0.007071",23,48.24
"3","B","++","Sep-S","7.031  ±  0.01367","68.52  ±  0.06715","2.402  ±  0.1711","4.704  ±  0.2644","7.665  ±  0.06364","7.945  ±  0.007071",19,45.64
"3","C","no","","4.336  ±  0.04398","66.02  ±  0.05757","2.627  ±  0.2687","3.931  ±  0.1351","7.955  ±  0.02121","8.17  ±  0",21,55.17
"3","C","no","Sep-D","2.523  ±  0.00217","58.57  ±  0.09937","3.36  ±  0.4787","4.973  ±  0.05396","7.905  ±  0.03536","8.015  ±  0.007071",19,63.83
"4","A","+","","4.158  ±  0.1497","73.31  ±  0.3972","2.005  ±  0.09192","2.97  ±  0.009899","7.69  ±  0.02828","7.825  ±  0.007071",30,60.15
"4","A","+","Sep-D","2.978  ±  0.009261","67.48  ±  0.1925","1.755  ±  0.09192","3.046  ±  0.1237","7.745  ±  0.02121","7.815  ±  0.007071",30,52.65
"4","A","+","Sep-S","3.299  ±  0.003911","68.05  ±  0.06652","2.095  ±  0.007071","3.127  ±  0.01414","7.73  ±  0.01414","7.85  ±  0.01414",30,62.85
"4","A","+","MF liquid","3.417  ±  0.001015","67.62  ±  0.04399","1.96  ±  0.04243","3.145  ±  0.1937","7.765  ±  0.02121","7.885  ±  0.007071",30,58.8
"4","A","+","MF slurry","7.815  ±  0.07186","76.83  ±  0.2992","2.13  ±  0.02828","2.812  ±  0.3833","7.435  ±  0.007071","7.785  ±  0.007071",36.7,78.17
"5","A","+","","3.66  ±  0.004433","73.63  ±  0.317","1.516  ±  0.02475","1.874  ±  0.01899","7.64  ±  0.02828","8.12  ±  0",32,48.5
"6","A","+","","3.711  ±  0.0677","73.94  ±  0.2368","1.52  ±  0.01485","1.929  ±  0.2802","7.82  ±  0","8.04  ±  0.01414",32,48.62
"7","A","+","","3.475  ±  0.09449","74.16  ±  1.028","1.525  ±  0.1626","2.236  ±  0.1761","7.875  ±  0.02121","8.095  ±  0.007071",32,48.8
"8","A","+","","2.951  ±  0.1284","72.18  ±  0.4665","1.5  ±  0.05657","2.689  ±  0.3408","7.86  ±  0.01414","8.07  ±  0.01414",32,48
"9","A","+","","3.35  ±  0.004878","71.87  ±  0.07737","1.506  ±  0.07","1.973  ±  0.04831","7.735  ±  0.0495","8.2  ±  0.01414",32,48.18
