Experiment;Date;code;category;separator type;Amount (ton/ha);dublicate;TS (%);VS (%);>2mm(%);>2mm (%TS);density (g/L);viscosity K;viscosity n;viscosity r2;Ammonium-N (mg/L) ;Tot N (mg/L);laboratory pH;field pH;viscosity K;viscosity n;viscosity r2
experiment;date;code;cat;sep;amount;dublicate;TS;VS;mm2;mm2TS;density;K;n;r2;ammonium.N.A;totN;pH.lab;pH.field;K;n;v.r2
23C;230412;A;Medium straw;;35;1;5.554890745;76.51874192;0.563836682;10.15027491;1.021592;180.11;-0.427;0.995;1553;2865.618;7.88;8.28;180.11;-0.427;0.995
23C;230412;A;Medium straw;;35;2;5.566781168;76.71765621;0.755806654;13.57708578;1.021592;180.11;-0.427;0.995;1563;2501.85;7.85;8.29;180.11;-0.427;0.995
23C;230412;A sep;Medium straw;Decanter;35;1;3.193802996;66.64116297;0;0;1.012664;29.818;-0.13;0.8408;1407;3380.305;7.8;;29.818;-0.13;0.8408
23C;230412;A sep;Medium straw;Decanter;35;2;3.192069628;66.53046062;0;0;1.012664;29.818;-0.13;0.8408;1581;2395.18;7.79;7.92;29.818;-0.13;0.8408
23C;230412;A sep acid;Medium straw;Decanter;35;1;3.29533497;64.92815327;0;0;1.01322;29.123;-0.135;0.8226;1539;2488.866;7.68;6.45;29.123;-0.135;0.8226
23C;230412;A sep acid;Medium straw;Decanter;35;2;3.294409108;64.93451627;0;0;1.01322;29.123;-0.135;0.8226;1528;2699.855;7.97;6.62;29.123;-0.135;0.8226
23C;230412;A dis;Medium straw;;35;1;5.328333479;77.60501909;0.267049533;5.011877249;1.01986;101.42;-0.365;0.9717;1459;3174.702;7.81;8.15;101.42;-0.365;0.9717
23C;230412;A dis;Medium straw;;35;2;5.325436067;77.41303283;0.360549346;6.770325313;1.01986;101.42;-0.365;0.9717;1450;3114.203;7.74;8;101.42;-0.365;0.9717
23C;230412;A dis acid;Medium straw;;35;1;5.466910803;76.76767677;0.339795516;6.215494054;1.017132;93.39;-0.347;0.961;1591;2276.733;7.37;6.45;93.39;-0.347;0.961
23C;230412;A dis acid;Medium straw;;35;2;5.45389049;76.68428005;0.297529603;5.455364446;1.017132;93.39;-0.347;0.961;1634;3316.944;7.38;6.49;93.39;-0.347;0.961
23D;230419;A;Medium straw;;32;1;5.403758534;76.11481292;0.509927308;9.436530241;1.023952;154.78;-0.405;0.9929;1290;3282.508;8.06;8.41;154.78;-0.405;0.9929
23D;230419;A;Medium straw;;32;2;5.475129918;76.16688396;0.471063257;8.603690946;1.023952;154.78;-0.405;0.9929;1662;2738.532;8.04;8.4;154.78;-0.405;0.9929
23D;230419;A acid;Medium straw;;32;1;5.55562575;75.21037071;0.461249014;8.302377347;1.0193;159.15;-0.449;0.9926;1541;3555.95;7.64;7.34;159.15;-0.449;0.9926
23D;230419;A acid;Medium straw;;32;2;5.634888021;75.38742024;0.376306243;6.678149441;1.0193;159.15;-0.449;0.9926;1992;3900.73;7.54;7.29;159.15;-0.449;0.9926
23D;230419;B;High straw;;23;1;9.208700712;74.43499392;1.773085302;19.25445682;1.032764;7018.7;-0.627;0.9963;2449;5082.756;7.74;8.14;7018.7;-0.627;0.9963
23D;230419;B;High straw;;23;2;9.150652196;74.51940515;1.861200862;20.33954326;1.032764;7018.7;-0.627;0.9963;2573;4722.21;7.77;8.14;7018.7;-0.627;0.9963
23D;230419;B acid;High straw;;23;1;9.348301036;74.4632339;1.623080698;17.36230671;1.022872;6469;-0.625;0.9977;2409;5424.239;7.51;7.66;6469;-0.625;0.9977
23D;230419;B acid;High straw;;23;2;9.249842498;74.19119436;1.517812759;16.40906598;1.022872;6469;-0.625;0.9977;2232;5682.277;7.5;7.68;6469;-0.625;0.9977
23D;230419;B sep acid;High straw;Screw press;20;1;7.334756242;68.84526559;0.014886269;0.202955196;1.012448;1477.2;-0.465;1;2608;5241.156;7.66;7.53;1477.2;-0.465;1
23D;230419;B sep acid;High straw;Screw press;20;2;7.332428499;68.97859054;0.016956337;0.231251316;1.012448;1477.2;-0.465;1;2535;5197.146;7.69;7.54;1477.2;-0.465;1
23D;230419;B sep;High straw;Screw press;;1;;;;;;;;;;;;7.87;;;
23D;230419;B sep;High straw;Screw press;;2;;;;;;;;;;;;7.88;;;
23G;230510;C;No straw;;21;1;4.366954834;66.05733278;0.160284951;3.670405514;1.022508;148.86;-0.419;0.9952;2437;3834.985;7.94;8.17;148.86;-0.419;0.9952
23G;230510;C;No straw;;21;2;4.304764519;65.97591215;0.146450724;3.402061204;1.022508;148.86;-0.419;0.9952;2817;4026.017;7.97;8.17;148.86;-0.419;0.9952
23G;230510;C sep;No straw;Decanter;19;1;2.524829484;58.63612428;0;0;1.01494;46.892;-0.28;0.9437;3021;4935.128;7.88;8.01;46.892;-0.28;0.9437
23G;230510;C sep;No straw;Decanter;19;2;2.521760187;58.49559883;0;0;1.01494;46.892;-0.28;0.9437;3698;5011.433;7.93;8.02;46.892;-0.28;0.9437
23G;230510;A;Medium straw;;38;1;5.521102498;75.68902756;0.825637576;14.95421568;1.019052;872.47;-0.472;0.9973;1374;3520.634;8.3;7.91;872.47;-0.472;0.9973
23G;230510;A;Medium straw;;38;2;5.532858237;75.77092511;0.755684058;13.65811351;1.019052;872.47;-0.472;0.9973;970;3276.218;7.7;7.93;872.47;-0.472;0.9973
23G;230510;B;High straw;;23;1;9.222479081;74.24536628;1.744186047;18.912334;1.03146;6050.4;-0.591;0.9956;2305;4443.568;7.75;8.1;6050.4;-0.591;0.9956
23G;230510;B;High straw;;23;2;9.249329759;74.21550095;1.651948052;17.86019198;1.03146;6050.4;-0.591;0.9956;1890;4332.165;7.79;8.11;6050.4;-0.591;0.9956
23G;230510;B sep;High straw;Screw press;19;1;7.021731088;68.47382733;-0.003923723;-0.055879708;1.02126;1404.3;-0.477;0.9972;2523;4890.563;7.71;7.94;1404.3;-0.477;0.9972
23G;230510;B sep;High straw;Screw press;19;2;7.041063116;68.5687904;-0.009662022;-0.137223915;1.02126;1404.3;-0.477;0.9972;2281;4516.709;7.62;7.95;1404.3;-0.477;0.9972
23H;230517;A;Medium straw;;35;1;5.574641784;75.26304488;0.933042171;16.73725788;1.017468;867.75;-0.512;0.977;1499;3114.018;7.78;8;867.75;-0.512;0.977
23H;230517;A;Medium straw;;35;2;5.641460053;75.52666965;0.976933514;17.31703327;1.017468;867.75;-0.512;0.977;1697;2870.005;7.58;7.98;867.75;-0.512;0.977
23H;230517;B ;High straw;;23;1;9.291066768;74.49025827;1.854864953;19.96396107;1.030712;6016.3;-0.611;0.9978;2204;4716.576;8;8.36;6016.3;-0.611;0.9978
23H;230517;B;High straw;;23;2;9.290681502;74.25149701;1.721640525;18.5308314;1.030712;6016.3;-0.611;0.9978;2454;4794.11;7.86;8.36;6016.3;-0.611;0.9978
23H;230517;F;High grass and solid manure;;22;1;6.448379552;75.06476684;1.130869025;17.53725903;1.023188;1061.2;-0.496;0.9945;2644;4344.782;7.76;8.11;1061.2;-0.496;0.9945
23H;230517;F;High grass and solid manure;;22;2;6.516774718;75.4233302;1.07378389;16.47722895;1.023188;1061.2;-0.496;0.9945;2360;4240.929;7.77;8.1;1061.2;-0.496;0.9945
23H;230517;E;High straw;;29;1;10.52819344;71.64909639;2.839756592;26.97287629;1.032012;1492.5;-0.658;0.9989;1706;3861.288;7.68;8.09;1492.5;-0.658;0.9989
23H;230517;E;High straw;;29;2;10.57200682;71.68765743;2.788964583;26.38065441;1.032012;1492.5;-0.658;0.9989;1862;5090.413;7.66;8.06;1492.5;-0.658;0.9989
23H;230517;D;No straw;;20;1;5.881275821;68.28176688;0.350504274;5.959663932;1.014884;617.18;-0.479;0.9995;2603;4171.207;7.8;8.04;617.18;-0.479;0.9995
23H;230517;D;No straw;;20;2;5.9325535;67.92678074;0.301884811;5.088615067;1.014884;617.18;-0.479;0.9995;2557;4201.961;7.85;8.04;617.18;-0.479;0.9995
23I;230522;I;Medium straw;;21;1;5.931629029;69.37842779;0.563948829;9.507486498;1.022012;384.71;-0.458;0.992;2485;4323.367;7.8;;384.71;-0.458;0.992
23I;230522;I;Medium straw;;21;2;5.936170213;69.27120669;0.760992973;12.81959489;1.022012;384.71;-0.458;0.992;2589;4729.046;7.64;;384.71;-0.458;0.992
