Experiment;Date;ID;dublicate;Ring size (cm3);Tray (g);Tray + field soil (g);Tray + dry soil (g);Field soil (g);Dry soil (g);Particle density (ASSUMED) (g/cm3);Dry bulk density (g/cm3);Water content [g] or (cm3);Gravametric water  conctent (g/g);crop height;Soil pH, 1:1 water
experiment;date;id;dublicate;ring.size;tray1;tray2;tray3;field.soil;dry.soil;par.dens;bulk.dens;WC;W;crop.height;pH
23C;230412;Foulum;1;100;8;138.5;117;130.5;109;2.65;1.09;21.5;0.2;12;5.3
23C;230412;Foulum;2;100;8;146.5;123.5;138.5;115.5;2.65;1.16;23;0.2;12;5.3
23C;230412;Foulum;3;100;8;143;121;135;113;2.65;1.13;22;0.19;12;5.3
23D;230419;Foulum;1;100;8;133.5;109;125.5;101;2.65;1.01;24.5;0.24;13;5.2
23D;230419;Foulum;2;100;8;142.5;117.5;134.5;109.5;2.65;1.1;25;0.23;13;5.2
23D;230419;Foulum;3;100;8;146.5;119;138.5;111;2.65;1.11;27.5;0.25;13;5.2
23G;230510;Foulum;1;100;8;123;107.5;115;99.5;2.65;1;15.5;0.16;8;5.6
23G;230510;Foulum;2;100;8;139.5;123.5;131.5;115.5;2.65;1.16;16;0.14;8;5.6
23G;230510;Foulum;3;100;8;121;108.5;113;100.5;2.65;1.01;12.5;0.12;8;5.6
23H;230517;Foulum;1;100;8;127;114.5;119;106.5;2.65;1.07;12.5;0.12;10;5.4
23H;230517;Foulum;2;100;8;156.5;135.5;148.5;127.5;2.65;1.28;21;0.16;10;5.4
23H;230517;Foulum;3;100;8;137.5;125;129.5;117;2.65;1.17;12.5;0.11;10;5.4
23I;230524;Foulum;1;100;8;119;101;111;93;2.65;0.93;18;0.19;9;5.2
23I;230524;Foulum;2;100;8;142.5;120.5;134.5;112.5;2.65;1.13;22;0.2;9;5.2
23I;230524;Foulum;3;100;8;129;110.5;121;102.5;2.65;1.03;18.5;0.18;9;5.2
24A;240219;Foulum;1;100;8;142.5;112;134.5;104;2.65;1.04;30.5;0.29;6.5;5.66
24A;240219;Foulum;2;100;8;168;132.5;160;124.5;2.65;1.25;35.5;0.29;6.5;5.66
24A;240219;Foulum;3;100;8;162;128;154;120;2.65;1.20;34;0.28;6.5;5.66
24B;240306;Foulum;1;100;8;180;144.5;172;136.5;2.65;1.37;35.5;0.26;6.5;5.58
24B;240306;Foulum;2;100;8;171;138;163;130;2.65;1.30;33;0.25;6.5;5.58
24B;240306;Foulum;3;100;8;167;134.5;159;126.5;2.65;1.27;32.5;0.26;6.5;5.58
24C;240313;Foulum;1;100;8;156.5;127;148.5;119;2.65;1.19;29.5;0.25;7;5.57
24C;240313;Foulum;2;100;8;166;135;158;127;2.65;1.27;31;0.24;7;5.57
24C;240313;Foulum;3;100;8;159;130.5;151;122.5;2.65;1.23;28.5;0.23;7;5.57
24D;240319;Foulum;1;100;8;155;124.5;147;116.5;2.65;1.17;30.5;0.26;7.5;5.51
24D;240319;Foulum;2;100;8.5;151;123;142.5;114.5;2.65;1.15;28;0.24;7.5;5.51
24D;240319;Foulum;3;100;8;146.5;119.5;138.5;111.5;2.65;1.12;27;0.24;7.5;5.51
24E;240403;Foulum;1;100;8;152.5;122.5;144.5;114.5;2.65;1.15;30;0.26;8.5;5.49
24E;240403;Foulum;2;100;8.5;168.5;133.5;160;125;2.65;1.25;35;0.28;8.5;5.49
24E;240403;Foulum;3;100;8;155;122;147;114;2.65;1.14;33;0.29;8.5;5.49
24F;240410;Foulum;1;100;8;180;141.5;172;133.5;2.65;1.34;38.5;0.29;9.5;5.59
24F;240410;Foulum;2;100;8;152;119.5;144;111.5;2.65;1.12;32.5;0.29;9.5;5.59
24F;240410;Foulum;3;100;8;137;108;129;100;2.65;1.00;29;0.29;9.5;5.59
24G;240417;Foulum;1;100;8;158;129.5;150;121.5;2.65;1.22;28.5;0.23;14;5.65
24G;240417;Foulum;2;100;8.5;140;117.5;131.5;109;2.65;1.09;22.5;0.21;14;5.65
24G;240417;Foulum;3;100;8;132.5;109.5;124.5;101.5;2.65;1.02;23;0.23;14;5.65
24H;240424;Foulum;1;100;8;160.5;121.5;152.5;113.5;2.65;1.14;39;0.34;21.5;5.27
24H;240424;Foulum;2;100;8;162;130;154;122;2.65;1.22;32;0.26;21.5;5.27
24H;240424;Foulum;3;100;8;153.5;123.5;145.5;115.5;2.65;1.16;30;0.26;21.5;5.27
24I;240501;Foulum;1;100;8;147;121.5;139;113.5;2.65;1.14;25.5;0.22;24;5.6
24I;240501;Foulum;2;100;8;129;106.5;121;98.5;2.65;0.99;22.5;0.23;24;5.6
24I;240501;Foulum;3;100;8;129;108.5;121;100.5;2.65;1.01;20.5;0.20;24;5.6
24J;240508;Foulum;1;100;8;154.5;127;146.5;119;2.65;1.19;27.5;0.23;28;4.93
24J;240508;Foulum;2;100;8;148;121.5;140;113.5;2.65;1.14;26.5;0.23;28;4.93
24J;240508;Foulum;3;100;8;147;120;139;112;2.65;1.12;27;0.24;28;4.93
24K;240515;Foulum;1;100;8;144.5;124;136.5;116;2.65;1.16;20.5;0.18;27;5.71
24K;240515;Foulum;2;100;8;143.5;123;135.5;115;2.65;1.15;20.5;0.18;27;5.71
24K;240515;Foulum;3;100;8.5;160;137.5;151.5;129;2.65;1.29;22.5;0.17;27;5.71
24L;240523;Foulum;1;100;8;139.5;129.5;131.5;121.5;2.65;1.22;10;0.08;37.5;5.62
24L;240523;Foulum;2;100;8;140.5;126.5;132.5;118.5;2.65;1.19;14;0.12;37.5;5.62
24L;240523;Foulum;3;100;8.5;138.5;126;130;117.5;2.65;1.18;12.5;0.11;37.5;5.62
24M;240603;Foulum;1;100;8;175.5;144.5;167.5;136.5;2.65;1.37;31;0.23;10;5.73
24M;240603;Foulum;2;100;8.5;177.5;147;169;138.5;2.65;1.39;30.5;0.22;10;5.73
24M;240603;Foulum;3;100;8.5;158;131;149.5;122.5;2.65;1.23;27;0.22;10;5.73
24N;240625;Varde1;1;100;6.5;173.5;150;167;143.5;2.65;1.44;23.5;0.16;8;5.8
24N;240625;Varde1;2;100;7;162;138.5;155;131.5;2.65;1.32;23.5;0.18;8;5.8
24N;240625;Varde1;3;100;6.5;168;145;161.5;138.5;2.65;1.39;23;0.17;8;5.8
24O;240702;Varde2;1;100;7;163;137.5;156;130.5;2.65;1.31;25.5;0.20;22;6.98
24O;240702;Varde2;2;100;6.5;163.5;136.5;157;130;2.65;1.30;27;0.21;22;6.98
24O;240702;Varde2;3;100;7;169;140;162;133;2.65;1.33;29;0.22;22;6.98
